date,country,send_interval,is_verified,is_unsubscribed,account_cnt,sent_msg,open_msg,visit_msg,total_country_account_cnt,total_country_sent_cnt,rank_total_country_account_cnt,rank_total_country_sent_cnt
2020-12-22,France,1,1,1,0,22,8,2,553,9520,5,6
2020-12-23,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-23,France,1,1,0,6,0,0,0,553,9520,5,6
2020-12-23,France,1,1,0,0,105,52,9,553,9520,5,6
2020-12-23,France,1,1,1,0,21,14,1,553,9520,5,6
2020-12-23,France,7,1,1,0,7,1,0,553,9520,5,6
2020-12-23,France,1,0,0,0,1,0,0,553,9520,5,6
2020-12-24,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-24,France,1,1,0,2,0,0,0,553,9520,5,6
2020-12-24,France,1,1,1,1,0,0,0,553,9520,5,6
2020-12-24,France,1,1,0,0,103,45,2,553,9520,5,6
2020-12-24,France,1,1,1,0,22,15,0,553,9520,5,6
2020-12-24,France,7,1,1,0,7,1,0,553,9520,5,6
2020-12-24,France,1,0,0,0,4,0,0,553,9520,5,6
2020-12-25,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-25,France,1,1,0,1,0,0,0,553,9520,5,6
2020-12-25,France,1,1,0,0,103,38,4,553,9520,5,6
2020-12-25,France,7,1,1,0,7,1,0,553,9520,5,6
2020-12-25,France,1,1,1,0,30,23,2,553,9520,5,6
2020-12-25,France,1,0,0,0,2,0,0,553,9520,5,6
2020-12-26,France,1,1,0,1,0,0,0,553,9520,5,6
2020-12-26,France,1,1,0,0,115,47,3,553,9520,5,6
2020-12-26,France,7,1,1,0,7,1,1,553,9520,5,6
2020-12-26,France,1,1,1,0,26,20,0,553,9520,5,6
2020-12-27,France,1,1,0,5,0,0,0,553,9520,5,6
2020-12-27,France,1,1,0,0,113,45,11,553,9520,5,6
2020-12-27,France,7,1,1,0,7,0,0,553,9520,5,6
2020-12-27,France,1,1,1,0,25,18,0,553,9520,5,6
2020-12-28,France,1,1,0,5,0,0,0,553,9520,5,6
2020-12-28,France,1,0,1,1,0,0,0,553,9520,5,6
2020-12-28,France,1,1,1,3,0,0,0,553,9520,5,6
2020-12-28,France,1,1,0,0,106,49,7,553,9520,5,6
2020-12-28,France,7,1,1,0,7,0,0,553,9520,5,6
2020-12-28,France,1,1,1,0,34,31,0,553,9520,5,6
2020-12-28,France,1,0,1,0,2,0,0,553,9520,5,6
2020-12-29,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-29,France,1,1,0,3,0,0,0,553,9520,5,6
2020-12-29,France,7,1,0,2,0,0,0,553,9520,5,6
2020-12-29,France,1,1,1,0,35,28,1,553,9520,5,6
2020-12-29,France,1,1,0,0,88,41,5,553,9520,5,6
2020-12-29,France,7,1,1,0,7,0,0,553,9520,5,6
2020-12-29,France,7,1,0,0,6,3,1,553,9520,5,6
2020-12-29,France,1,0,0,0,1,0,0,553,9520,5,6
2020-12-30,France,1,1,0,2,0,0,0,553,9520,5,6
2020-12-30,France,1,0,1,1,0,0,0,553,9520,5,6
2020-12-30,France,1,1,1,0,33,27,1,553,9520,5,6
2020-12-30,France,1,1,0,0,87,41,5,553,9520,5,6
2020-12-30,France,7,1,1,0,7,0,0,553,9520,5,6
2020-12-30,France,7,1,0,0,4,1,0,553,9520,5,6
2020-12-31,France,1,1,0,3,0,0,0,553,9520,5,6
2020-12-31,France,1,1,1,0,33,27,1,553,9520,5,6
2020-12-31,France,1,1,0,0,89,44,3,553,9520,5,6
2020-12-31,France,7,1,1,0,7,0,0,553,9520,5,6
2020-12-31,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-01,France,1,1,0,1,0,0,0,553,9520,5,6
2021-01-01,France,1,1,0,0,89,40,3,553,9520,5,6
2021-01-01,France,7,1,1,0,7,0,0,553,9520,5,6
2021-01-01,France,1,1,1,0,32,28,0,553,9520,5,6
2021-01-01,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-01,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-02,France,1,1,0,0,92,47,9,553,9520,5,6
2021-01-02,France,7,1,1,0,7,0,0,553,9520,5,6
2021-01-02,France,1,1,1,0,23,16,0,553,9520,5,6
2021-01-02,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-03,France,1,0,0,1,0,0,0,553,9520,5,6
2021-01-03,France,1,1,0,5,0,0,0,553,9520,5,6
2021-01-03,France,1,1,0,0,93,38,3,553,9520,5,6
2021-01-03,France,1,1,1,0,18,18,0,553,9520,5,6
2021-01-03,France,7,1,1,0,2,1,0,553,9520,5,6
2021-01-03,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-03,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-04,France,1,0,0,2,0,0,0,553,9520,5,6
2021-01-04,France,1,1,0,3,0,0,0,553,9520,5,6
2021-01-04,France,1,1,1,1,0,0,0,553,9520,5,6
2021-01-04,France,1,1,0,0,96,38,4,553,9520,5,6
2021-01-04,France,1,1,1,0,18,17,0,553,9520,5,6
2021-01-04,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-04,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-05,France,1,0,0,2,0,0,0,553,9520,5,6
2021-01-05,France,1,1,0,6,0,0,0,553,9520,5,6
2021-01-05,France,1,1,1,1,0,0,0,553,9520,5,6
2021-01-05,France,7,1,0,0,5,3,1,553,9520,5,6
2021-01-05,France,1,1,0,0,98,39,1,553,9520,5,6
2021-01-05,France,1,1,1,0,19,19,1,553,9520,5,6
2021-01-05,France,1,0,0,0,2,0,0,553,9520,5,6
2021-01-06,France,1,0,0,2,0,0,0,553,9520,5,6
2021-01-06,France,1,1,0,5,0,0,0,553,9520,5,6
2021-01-06,France,1,1,1,1,0,0,0,553,9520,5,6
2021-01-06,France,1,1,0,0,92,39,1,553,9520,5,6
2021-01-06,France,1,1,1,0,16,14,0,553,9520,5,6
2021-01-06,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-06,France,1,0,0,0,2,0,0,553,9520,5,6
2021-01-07,France,1,0,0,3,0,0,0,553,9520,5,6
2021-01-07,France,1,1,0,12,0,0,0,553,9520,5,6
2021-01-07,France,1,0,1,1,0,0,0,553,9520,5,6
2021-01-07,France,1,1,0,0,102,40,5,553,9520,5,6
2021-01-07,France,1,1,1,0,13,13,1,553,9520,5,6
2021-01-07,France,1,0,0,0,2,0,0,553,9520,5,6
2021-01-07,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-07,France,1,0,1,0,1,0,0,553,9520,5,6
2021-01-08,France,1,0,0,4,0,0,0,553,9520,5,6
2021-01-08,France,1,1,0,3,0,0,0,553,9520,5,6
2021-01-08,France,1,1,0,0,104,45,6,553,9520,5,6
2021-01-08,France,1,1,1,0,13,12,1,553,9520,5,6
2021-01-08,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-09,France,1,0,0,3,0,0,0,553,9520,5,6
2021-01-09,France,1,1,0,1,0,0,0,553,9520,5,6
2021-01-09,France,1,1,0,0,97,34,3,553,9520,5,6
2021-01-09,France,1,0,0,0,2,0,0,553,9520,5,6
2021-01-09,France,1,1,1,0,7,7,0,553,9520,5,6
2021-01-09,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-10,France,1,0,0,1,0,0,0,553,9520,5,6
2021-01-10,France,1,1,0,4,0,0,0,553,9520,5,6
2021-01-10,France,1,1,0,0,96,26,0,553,9520,5,6
2021-01-10,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-10,France,1,0,1,0,1,0,0,553,9520,5,6
2021-01-10,France,7,1,0,0,3,1,0,553,9520,5,6
2021-01-11,France,1,0,0,3,0,0,0,553,9520,5,6
2021-01-11,France,1,1,0,1,0,0,0,553,9520,5,6
2021-01-11,France,1,1,0,0,97,34,3,553,9520,5,6
2021-01-11,France,7,1,0,0,3,0,0,553,9520,5,6
2021-01-11,France,3,1,0,0,5,5,0,553,9520,5,6
2021-01-11,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-12,France,1,0,0,2,0,0,0,553,9520,5,6
2021-01-12,France,1,1,0,8,0,0,0,553,9520,5,6
2021-01-12,France,1,1,1,1,0,0,0,553,9520,5,6
2021-01-12,France,1,1,0,0,95,29,1,553,9520,5,6
2021-01-12,France,7,1,0,0,10,2,0,553,9520,5,6
2021-01-12,France,3,1,0,0,6,6,1,553,9520,5,6
2021-01-12,France,1,0,0,0,2,0,0,553,9520,5,6
2021-01-13,France,1,0,0,3,0,0,0,553,9520,5,6
2021-01-13,France,1,1,0,5,0,0,0,553,9520,5,6
2021-01-13,France,1,1,0,0,90,35,4,553,9520,5,6
2021-01-13,France,7,1,0,0,6,0,0,553,9520,5,6
2021-01-13,France,3,1,0,0,6,6,0,553,9520,5,6
2021-01-13,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-14,France,1,0,0,4,0,0,0,553,9520,5,6
2021-01-14,France,3,1,0,1,0,0,0,553,9520,5,6
2021-01-14,France,1,1,0,3,0,0,0,553,9520,5,6
2021-01-14,France,1,1,1,1,0,0,0,553,9520,5,6
2021-01-14,France,1,1,0,0,91,26,4,553,9520,5,6
2021-01-14,France,1,0,0,0,6,2,0,553,9520,5,6
2021-01-14,France,3,1,0,0,7,4,1,553,9520,5,6
2021-01-14,France,7,1,0,0,6,1,0,553,9520,5,6
2021-01-14,France,1,1,1,0,1,1,0,553,9520,5,6
2021-01-15,France,1,1,0,3,0,0,0,553,9520,5,6
2021-01-15,France,1,1,1,2,0,0,0,553,9520,5,6
2021-01-15,France,1,1,1,0,6,6,3,553,9520,5,6
2021-01-15,France,1,1,0,0,101,36,5,553,9520,5,6
2021-01-15,France,3,1,0,0,8,1,0,553,9520,5,6
2021-01-15,France,7,1,0,0,6,0,0,553,9520,5,6
2021-01-16,France,1,0,0,2,0,0,0,553,9520,5,6
2021-01-16,France,1,1,0,2,0,0,0,553,9520,5,6
2021-01-16,France,1,1,0,0,107,33,3,553,9520,5,6
2021-01-16,France,1,0,0,0,2,0,0,553,9520,5,6
2021-01-16,France,7,1,0,0,7,0,0,553,9520,5,6
2021-01-16,France,1,1,1,0,6,5,0,553,9520,5,6
2021-01-16,France,3,1,0,0,8,0,0,553,9520,5,6
2021-01-17,France,1,1,0,1,0,0,0,553,9520,5,6
2021-01-17,France,1,0,1,1,0,0,0,553,9520,5,6
2021-01-17,France,1,1,0,0,118,44,2,553,9520,5,6
2021-01-17,France,1,0,0,0,1,0,0,553,9520,5,6
2021-01-17,France,3,1,0,0,3,0,0,553,9520,5,6
2021-01-17,France,7,1,0,0,6,0,0,553,9520,5,6
2021-01-17,France,1,0,1,0,1,0,0,553,9520,5,6
2021-01-17,France,1,1,1,0,1,1,0,553,9520,5,6
2021-01-18,France,1,0,0,1,0,0,0,553,9520,5,6
2021-01-18,France,1,1,0,1,0,0,0,553,9520,5,6
2021-01-18,France,1,0,1,1,0,0,0,553,9520,5,6
2021-01-18,France,1,1,0,0,116,40,3,553,9520,5,6
2021-01-18,France,3,1,0,0,3,0,0,553,9520,5,6
2021-01-18,France,1,1,1,0,3,1,0,553,9520,5,6
2021-01-18,France,7,1,0,0,6,0,0,553,9520,5,6
2021-01-18,France,1,0,1,0,1,0,0,553,9520,5,6
2021-01-19,France,1,0,0,1,0,0,0,553,9520,5,6
2021-01-19,France,1,1,0,6,0,0,0,553,9520,5,6
